"RelationID","ProductID","ProductID:製品名","MaterialID","MaterialID:MaterialsName","QuantityPerUnit","UnitType"
"PM-T36526-987750","T36526","ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2LX6","987750","CTN ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2LX6","1","EA"
"PM-T36526-960340","T36526","ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ 2LX6","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","6","EA"
"PM-T40049-DB6","T40049","ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4KGX6","DB6","BI Super Beam B44","24","KG"
"PM-T40049-987740","T40049","ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4KGX6","987740","CTN ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4X6","1","EA"
"PM-T40049-933540","T40049","ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4KGX6","933540","BTL ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4KG","6","EA"
"PM-T40049-3007566","T40049","ｽｰﾊﾟｰﾜｰﾙﾄﾞ 4KGX6","3007566","NDECO 2.5ｷｬｯﾌﾟ","6","EA"
"PM-JB49-820140","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","820140","ｶｾｲｶﾘ 48% 工業用ｸﾞﾚｰﾄﾞ(ﾛｰﾘｰ)","0.0675","KG"
"PM-JB49-342538","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","342538","ﾃｲｶﾊﾟﾜｰ L-121 (1000KG)▲","0.0065","KG"
"PM-JB49-342389","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","342389","■次亜塩素酸ｿｰﾀﾞ","0.25","KG"
"PM-JB49-4025993","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","4025993","ｱｷｭｿｰﾙ445 (ﾌﾟﾗｲﾏﾙLMW45)(1200KG","0.038","KG"
"PM-JB49-823124","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","823124","3号珪酸ｿｰﾀﾞ（大阪硅曹）(12","0.0545","KG"
"PM-JB49-210409","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","210409","CADENAX DM14-DN(950KG)諸星納","0.0624","KG"
"PM-JB49-885010","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","885010","ELTESOL SX-93(25KG)諸星納入","0.013","KG"
"PM-JB49-336701","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","336701","BINT ｲｵﾝ交換水","0.5056","KG"
"PM-JB49-832200","JB49","BI ﾊﾟｲﾌﾟｸﾘｱｼﾞｪﾙ","832200","ｴﾃﾞﾉｱ C8-99.MY","0.0025","KG"
"PM-5627793-5921132","5627793","ｽﾀﾝﾀﾞｰﾄﾞ ﾀﾞﾝﾌﾟﾓｯﾌﾟ25 X20","5921132","PI ｽﾀﾝﾀﾞｰﾄﾞﾀﾞﾝﾌﾟﾓｯﾌﾟ25 X20","1","EA"
"PM-5628681-5847201","5628681","ｽﾀﾝﾀﾞｰﾄﾞ ﾀﾞﾝﾌﾟﾓｯﾌﾟ40 X20","5847201","PI ﾌﾟﾚﾅｽﾐｽﾞﾌﾞｷﾖｳﾓｯﾌﾟｼｰﾄ X20","1","EA"
"PM-5628711-5847198","5628711","ｽﾀﾝﾀﾞｰﾄﾞ ﾀﾞﾝﾌﾟHDﾓｯﾌﾟ40 X20","5847198","PI ﾌﾟﾚﾅｽｶﾗﾌﾞｷﾖｳﾓｯﾌﾟｼｰﾄx20","1","EA"
"PM-T40051-342389","T40051","ｴﾝｿｹｲｼﾞｮｷﾝﾋｮｳﾊｸ HCL-1 5LX3","342389","■次亜塩素酸ｿｰﾀﾞ","7.5","KG"
"PM-T40051-336701","T40051","ｴﾝｿｹｲｼﾞｮｷﾝﾋｮｳﾊｸ HCL-1 5LX3","336701","BINT ｲｵﾝ交換水","7.5","KG"
"PM-T40051-933610","T40051","ｴﾝｿｹｲｼﾞｮｷﾝﾋｮｳﾊｸ HCL-1 5LX3","933610","BTL ｴﾝｿｹｲｼﾞｮｷﾝHCL-1 5L (G)","3","EA"
"PM-T40051-960340","T40051","ｴﾝｿｹｲｼﾞｮｷﾝﾋｮｳﾊｸ HCL-1 5LX3","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","3","EA"
"PM-T40051-987810","T40051","ｴﾝｿｹｲｼﾞｮｷﾝﾋｮｳﾊｸ HCL-1 5LX3","987810","CTN HCL-1","1","EA"
"PM-T40050-933600","T40050","ｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5LX2","933600","BTLｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5L(N)","2","EA"
"PM-T40050-987800","T40050","ｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5LX2","987800","CTN ｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5LX2","1","EA"
"PM-T40050-960340","T40050","ｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5LX2","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","2","EA"
"PM-T40050-JB65","T40050","ｱﾙｺｰﾙｼﾞｮｷﾝｻﾞｲ75 HAL-1 5LX2","JB65","BI ｱﾙﾃｨｰ75","8.88","KG"
"PM-135-894268","135","BI ｸﾘｰﾝﾌﾚｯｼｭ","894268","ﾄﾘﾎﾟﾘ燐酸ｿｰﾀﾞ粒状","0.064039","KG"
"PM-135-894528","135","BI ｸﾘｰﾝﾌﾚｯｼｭ","894528","ﾀﾝｶﾙCO-50","0.019705","KG"
"PM-135-3028017","135","BI ｸﾘｰﾝﾌﾚｯｼｭ","3028017","ｴﾏｰﾙ10P HD-J (20KG)","0.009852","KG"
"PM-135-2975354","135","BI ｸﾘｰﾝﾌﾚｯｼｭ","2975354","ｵﾙｿ 65 (25KG)","0.906404","KG"
"PM-5722601-5757029","5722601","ｽｳｨﾝｺﾞ 1255 B POWER X1","5757029","PI ｽｳｲﾝｺﾞ 1255B POWER","1","CS"
"PM-T42019-6025031","T42019","ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ　2LX6","6025031","BI ｾｰﾌﾀｯﾁﾊﾝﾄﾞｿｰﾌﾟﾌﾟﾗｽ(Ib)","12.276","KG"
"PM-T42019-936730","T42019","ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ　2LX6","936730","BTL ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ 2L(ﾏﾙﾆ)","6","EA"
"PM-T42019-942550","T42019","ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ　2LX6","942550","CAP ﾏﾙﾆ 平ｷｬｯﾌﾟ(P入) 2L","6","EA"
"PM-T42019-961000","T42019","ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ　2LX6","961000","SPE ﾏﾙﾆﾌﾟﾗﾉｽﾞﾙ","6","EA"
"PM-T42019-991060","T42019","ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ　2LX6","991060","CTN ｾﾞﾝｼｮｰﾊﾝﾄﾞｿｰﾌﾟ 2LX6(ﾏﾙﾆ)","1","EA"
"PM-5791198-900500","5791198","ｶﾋﾞｸﾘｱ5LX3","900500","CTN ｶﾋﾞｸﾘｱ　5LX3","1","EA"
"PM-5791198-933800","5791198","ｶﾋﾞｸﾘｱ5LX3","933800","BTL ｶﾋﾞｸﾘｱ　ﾗﾍﾞﾙﾂｷ　5L(G)","3","EA"
"PM-5791198-960340","5791198","ｶﾋﾞｸﾘｱ5LX3","960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","3","EA"
"PM-5791198-933810","5791198","ｶﾋﾞｸﾘｱ5LX3","933810","BTL ｶﾋﾞｸﾘｱ　600ML","3","EA"
"PM-5791198-941960","5791198","ｶﾋﾞｸﾘｱ5LX3","941960","CAP ﾉｽﾞﾙｺｯｸ JDCNS (1X1)","3","EA"
"PM-5791198-JB52","5791198","ｶﾋﾞｸﾘｱ5LX3","JB52","BI ｶﾋﾞｸﾘｱ","15.78","KG"
"PM-5791198-993420","5791198","ｶﾋﾞｸﾘｱ5LX3","993420","TRG  ｷﾞｮｳﾑﾖｳｱﾜﾄﾘｶﾞｰ(YT-01)ｼﾞｱ","3","EA"
"PM-5791219-900550","5791219","ｶﾋﾞｸﾘｱﾂﾒｶｴﾎﾞﾄﾙ 600mlX12","900550","CTN ｶﾋﾞｸﾘｱ　ﾂﾒｶｴ　600MLX12","1","EA"
"PM-5791219-933810","5791219","ｶﾋﾞｸﾘｱﾂﾒｶｴﾎﾞﾄﾙ 600mlX12","933810","BTL ｶﾋﾞｸﾘｱ　600ML","12","EA"
"PM-5791219-912910","5791219","ｶﾋﾞｸﾘｱﾂﾒｶｴﾎﾞﾄﾙ 600mlX12","912910","LBL ｶﾋﾞｸﾘｱ　ﾂﾒｶｴ　600ML","12","EA"
