"材料品番","材料名","単位","ID"
"3015398","LBL Cｸﾘｰﾝ ﾈｵ 20KG ﾛｰﾙ","EA","2852"
"3522111","BI Cｸﾘｰﾝﾈｵ","KG","2853"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2854"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2855"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2856"
"5246544","LBL GSﾀﾊﾞｺｾﾝﾖｳｼｮｳｼｭｳ 5Lﾛｰﾙ","EA","2857"
"2891054","BI ﾀﾊﾞｺｾﾝﾖｳｼｮｳｼｭｳｻﾞｲ","KG","2858"
"912170","LBL ｽﾄｱﾁｭｳｾｲｾﾝｻﾞｲ 5Lﾛｰﾙ","EA","2859"
"987670","CTN ｽﾄｱﾁｭｳｾｲｾﾝｻﾞｲ 5LX3","EA","2860"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2861"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2862"
"610220","BI ﾆﾁﾘｳ中性洗剤","KG","2863"
"894276","ｸﾚｽﾄｶﾞｰﾄﾞ410/ﾃﾞｨｸｴｽﾄ 2000*41*","KG","2864"
"760040","PI HDSﾌﾟﾚﾐｯｸｽ (717KG)","KG","2865"
"823905","ﾃﾞｨｿﾞﾙﾋﾞﾝ D-40 (250KG) *27*","KG","2866"
"823790","EDTA 4NA 40%水溶液(JACKCHEM)","KG","2867"
"210317","ｶｾｲｿｰﾀﾞ ｴｷ48% ﾛｰﾘｰ TK-657","KG","2868"
"336701","BINT ｲｵﾝ交換水","KG","2869"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2870"
"932860","BTL JD 5L WEL ﾅﾁｭﾗﾙ(N)","EA","2871"
"912150","LBL ﾌﾟﾛｾﾝﾃ NL 5KG ﾛｰﾙ","EA","2872"
"987630","CTN ﾌﾟﾛｾﾝﾃ NL 5KGX3","EA","2873"
"610220","BI ﾆﾁﾘｳ中性洗剤","KG","2874"
"963330","FLM BIB 18Lﾊﾟﾜ-ｼｭﾘﾝｸ13280=20ﾎﾝ","EA","2875"
